,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
22,best_estimate_sum(precipitation_amount P1M),Homogenised precipitation (month),Homogenised monthly precipitation sum,mm,CF-name,"{'baseName': 'precipitation_amount', 'method': 'best_estimate_sum', 'period': 'P1M', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RR'], 'unit': 'mm'}","{'standardName': 'precipitation_amount', 'cellMethod': 'time: sum (best estimate)', 'unit': 'kg m-2', 'version': '44'}",{'values': ['PT6H']},,
23,best_estimate_sum(precipitation_amount P1Y),Homogenised precipitation (year),Homogenised annual precipitation sum,mm,CF-name,"{'baseName': 'precipitation_amount', 'method': 'best_estimate_sum', 'period': 'P1Y', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RR'], 'unit': 'mm'}","{'standardName': 'precipitation_amount', 'cellMethod': 'time: sum (best estimate)', 'unit': 'kg m-2', 'version': '44'}",{'values': ['PT6H']},,
24,best_estimate_sum(precipitation_amount P3M),Homogenised precipitation (season),Homogenised seasonal precipitation sum,mm,CF-name,"{'baseName': 'precipitation_amount', 'method': 'best_estimate_sum', 'period': 'P3M', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RR'], 'unit': 'mm'}","{'standardName': 'precipitation_amount', 'cellMethod': 'time: sum (best estimate)', 'unit': 'kg m-2', 'version': '44'}",{'values': ['PT6H']},,
25,best_estimate_sum(precipitation_amount P6M),Homogenised precipitation (half year),Homogenised precipitation half-year sum (summer half-year and winter half-year),mm,CF-name,"{'baseName': 'precipitation_amount', 'method': 'best_estimate_sum', 'period': 'P6M', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RR'], 'unit': 'mm'}","{'standardName': 'precipitation_amount', 'cellMethod': 'time: sum (best estimate)', 'unit': 'mm', 'version': '44'}",{'values': ['PT6H']},,
26,best_estimate_sum(precipitation_amount_anomaly P1M 1961_1990),Homogenised precipitation in percent of the 1961-1990 normal (month),Homogenised monthly precipitation sum in percent of the precipitation normal for the normal period 1961-1990,percent,METNO-name,"{'baseName': 'precipitation_amount_anomaly', 'method': 'best_estimate_sum', 'period': 'P1M', 'addition': '1961_1990', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RRA'], 'unit': 'percent'}",,{'values': ['PT6H']},,
27,best_estimate_sum(precipitation_amount_anomaly P1M 1991_2020),Homogenised precipitation in percent of the 1991-2020 normal (month),Homogenised monthly precipitation sum in percent of the precipitation normal (1991-2020),percent,METNO-name,"{'baseName': 'precipitation_amount_anomaly', 'method': 'best_estimate_sum', 'period': 'P1M', 'addition': '1991_2020', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RRA'], 'unit': 'percent'}",,,,
28,best_estimate_sum(precipitation_amount_anomaly P1Y 1961_1990),Homogenised precipitation in percent of the 1961-1990 normal (year),Homogenised annual precipitation sum in percent of the precipitation normal for the normal period 1961-1990,percent,METNO-name,"{'baseName': 'precipitation_amount_anomaly', 'method': 'best_estimate_sum', 'period': 'P1Y', 'addition': '1961_1990', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RRA'], 'unit': 'percent'}",,{'values': ['PT6H']},,
29,best_estimate_sum(precipitation_amount_anomaly P1Y 1991_2020),Homogenised precipitation in percent of the 1991-2020 normal (year),Homogenised annual precipitation sum in percent of the precipitation normal (1991-2020),percent,METNO-name,"{'baseName': 'precipitation_amount_anomaly', 'method': 'best_estimate_sum', 'period': 'P1Y', 'addition': '1991_2020', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RRA'], 'unit': 'percent'}",,,,
30,best_estimate_sum(precipitation_amount_anomaly P3M 1961_1990),Homogenised precipitation in percent of the 1961-1990 normal (season),Homogenised seasonal precipitation sum in percent of the precipitation normal for the normal period 1961-1990,percent,METNO-name,"{'baseName': 'precipitation_amount_anomaly', 'method': 'best_estimate_sum', 'period': 'P3M', 'addition': '1961_1990', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RRA'], 'unit': 'percent'}",,{'values': ['PT6H']},,
31,best_estimate_sum(precipitation_amount_anomaly P3M 1991_2020),Homogenised precipitation in percent of the 1991-2020 normal (season),Homogenised seasonal precipitation sum in percent of the precipitation normal (1991-2020),percent,METNO-name,"{'baseName': 'precipitation_amount_anomaly', 'method': 'best_estimate_sum', 'period': 'P3M', 'addition': '1991_2020', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RRA'], 'unit': 'percent'}",,,,
