,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
370,min(sea_surface_temperature P3M),Lowest sea surface temperature (season),"Minimum sea surface temperature per season. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",degC,CF-name,"{'baseName': 'sea_surface_temperature', 'method': 'min', 'period': 'P3M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Temperature,"{'elementCodes': ['TWN'], 'unit': 'degC'}","{'standardName': 'sea_surface_temperature', 'cellMethod': 'time: minimum', 'unit': 'degC', 'version': '44'}","{'values': ['PT0H', 'PT12H']}","{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 0, 'values': [0]}",
371,min(sea_surface_temperature PT1H),Minimum sea surface temperature (1 h),Minimum sea surface temperature per hour,degC,CF-name,"{'baseName': 'sea_surface_temperature', 'method': 'min', 'period': 'PT1H', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Temperature,"{'elementCodes': ['TWN'], 'unit': 'degC'}","{'standardName': 'sea_surface_temperature', 'cellMethod': 'time: minimum', 'unit': 'K', 'version': '44'}",,"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 0, 'values': [0]}",
372,min(sea_surface_wave_mean_period P1D),Shortest average wave period (24h),"Daily minimum of the mean wave period, instrumentally measured. Wave period is the interval of time between repeated features on the waveform such as crests, troughs or upward passes through the mean level.",seconds,CF-name,"{'baseName': 'sea_surface_wave_mean_period', 'method': 'min', 'period': 'P1D', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Waves,"{'elementCodes': ['PWAN_d'], 'unit': 'seconds'}","{'standardName': 'sea_surface_wave_mean_period', 'cellMethod': 'time: minimum', 'unit': 'seconds', 'version': '75'}",{'values': ['PT0H']},,
373,min(sea_surface_wave_mean_period P1M),Shortest average wave period (month),"Monthly minimum of the mean wave period, instrumentally measured. Wave period is the interval of time between repeated features on the waveform such as crests, troughs or upward passes through the mean level. ",seconds,CF-name,"{'baseName': 'sea_surface_wave_mean_period', 'method': 'min', 'period': 'P1M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Waves,"{'elementCodes': ['PWAN_m'], 'unit': 'seconds'}","{'standardName': 'sea_surface_wave_mean_period', 'cellMethod': 'time: minimum', 'unit': 'seconds', 'version': '75'}",{'values': ['PT0H']},,
374,min(sea_surface_wave_significant_height P1D),Lowest Significant Wave Height (24 h),"Daily minimum of significant wave height, instrumentally measured. Significant wave height is a statistic computed from wave measurements and corresponds to the average height of the highest one third of the waves, where the height is defined as the vertical distance from a wave trough to the following wave crest.",meters,METNO-name,"{'baseName': 'sea_surface_wave_significant_height', 'method': 'min', 'period': 'P1D', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Waves,"{'elementCodes': ['HWAN'], 'unit': 'meters'}",,{'values': ['PT0H']},,
375,min(sea_surface_wave_significant_height P1M),Lowest Significant Wave Height (month),"Monthly minimum of significant wave height, instrumentally measured. Significant wave height is a statistic computed from wave measurements and corresponds to the average height of the highest one third of the waves, where the height is defined as the vertical distance from a wave trough to the following wave crest.",meters,METNO-name,"{'baseName': 'sea_surface_wave_significant_height', 'method': 'min', 'period': 'P1M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Waves,"{'elementCodes': ['HWAN'], 'unit': 'meters'}",,{'values': ['PT6H']},,
376,min(snow_coverage_type P1M),Minimum snow cover (month),"Smallest observed snow cover value per month. Snow cover is registered using a code 0-4. 1=mostly snow free ground. 2=equal parts of snow covered and snow free ground. 3=mostly snow covered ground. 4=Completely snow covered ground. Code=0 or -1 means ""no snow"" (-1 is presented as ""."").",code,METNO-name,"{'baseName': 'snow_coverage_type', 'method': 'min', 'period': 'P1M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Snow,"{'elementCodes': ['SDN'], 'unit': 'code'}",,,,snow_cover_code
377,min(snow_coverage_type P3M),Minimum snow cover (season),"Smallest observed snow cover value per season. Snow cover is registered using a code 0-4. 1=mostly snow free ground. 2=equal parts of snow covered and snow free ground. 3=mostly snow covered ground. 4=Completely snow covered ground. Code=0 or -1 means ""no snow"" (-1 is presented as "".""). A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",code,METNO-name,"{'baseName': 'snow_coverage_type', 'method': 'min', 'period': 'P3M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Snow,"{'elementCodes': ['SDN'], 'unit': 'code'}",,{'values': ['PT6H']},,snow_cover_code
378,min(snow_temperature PT1H),Minuimum snow temperature (1 h),"Minimum minute value per hour. Snow temperature can be measured at different depths, but the default is 10 cm.",degC,CF-alias,"{'baseName': 'snow_temperature', 'method': 'min', 'period': 'PT1H', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Temperature,"{'elementCodes': ['TSN10', 'TSN125', 'TSN140', 'TSN175', 'TSN25', 'TSN50', 'TSN75', 'TSN90'], 'unit': 'degC'}",,,"{'levelType': 'depth_below_surface', 'unit': 'cm', 'defaultValue': 10, 'values': [10, 25, 50, 75, 90, 125, 140, 175]}",
379,min(sum(duration_of_sunshine P1D) P1M),Sunshine duration - fewest hours of sunshine per day (month),Number of sunshine hours during day of month with least sunshine,hours,CF-name,"{'baseName': 'duration_of_sunshine', 'method': 'min', 'innerMethod': 'sum', 'period': 'P1M', 'innerPeriod': 'P1D', 'methodDescription': 'Minimum value observed or calculated in the given period', 'innerMethodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Sunshine,"{'elementCodes': ['OTN'], 'unit': 'hours'}","{'standardName': 'duration_of_sunshine', 'cellMethod': 'time: minimum', 'unit': 's', 'version': '44'}",{'values': ['PT0H']},,
380,min(sum(duration_of_sunshine P1D) P3M),Sunshine duration (season),"Number of sunshine hours during day of the season with the least amount of sunshine. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",s,CF-name,"{'baseName': 'duration_of_sunshine', 'method': 'min', 'innerMethod': 'sum', 'period': 'P3M', 'innerPeriod': 'P1D', 'methodDescription': 'Minimum value observed or calculated in the given period', 'innerMethodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Sunshine,"{'elementCodes': ['OTN'], 'unit': 's'}","{'standardName': 'duration_of_sunshine', 'cellMethod': 'time:minimum', 'unit': 's', 'version': '44'}",{'values': ['PT0H']},,
381,min(surface_air_pressure P1D),"Minimum air pressure, station level (24 h)","Air pressure at the station, minimum value per day (24 h). The parameter is usually called QFE in aviation and shows the measured air pressure reduced to the reference height of the station.",hPa,CF-name,"{'baseName': 'surface_air_pressure', 'method': 'min', 'period': 'P1D', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Air pressure,"{'elementCodes': ['PON'], 'unit': 'hPa'}","{'standardName': 'surface_air_pressure', 'cellMethod': 'time: minimum', 'unit': 'Pa', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
382,min(surface_air_pressure P1M),"Minimum air pressure, station level (month)","Air pressure at the station, minimum value per month. The parameter is usually called QFE in aviation and shows the measured air pressure reduced to the reference height of the station.",hPa,CF-name,"{'baseName': 'surface_air_pressure', 'method': 'min', 'period': 'P1M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Air pressure,"{'elementCodes': ['PON'], 'unit': 'hPa'}","{'standardName': 'surface_air_pressure', 'cellMethod': 'time: minimum', 'unit': 'Pa', 'version': '44'}",{'values': ['PT6H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
383,min(surface_air_pressure P3M),"Minimum air pressure, station level (season)","Air pressure at the station, minimum value per season. The parameter is usually called QFE in aviation and shows the measured air pressure reduced to the reference height of the station. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",Pa,CF-name,"{'baseName': 'surface_air_pressure', 'method': 'min', 'period': 'P3M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Air pressure,"{'elementCodes': ['PON'], 'unit': 'Pa'}","{'standardName': 'surface_air_pressure', 'cellMethod': 'time: minimum', 'unit': 'Pa', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
384,min(surface_air_pressure PT1H),"Minimum air pressure, station level (1  h)","Air pressure at the station, minimum value per hour. The parameter is usually called QFE in aviation and shows the measured air pressure reduced to the reference height of the station.",hPa,CF-name,"{'baseName': 'surface_air_pressure', 'method': 'min', 'period': 'PT1H', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Air pressure,"{'elementCodes': ['PON'], 'unit': 'hPa'}","{'standardName': 'surface_air_pressure', 'cellMethod': 'time: minimum', 'unit': 'Pa', 'version': '44'}",{'values': ['PT6H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
385,min(surface_snow_thickness P1M),Minimum snow depth (month),Smallest recorded snow depth value per month.,cm,CF-name,"{'baseName': 'surface_snow_thickness', 'method': 'min', 'period': 'P1M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Snow,"{'elementCodes': ['SAN'], 'unit': 'cm'}","{'standardName': 'surface_snow_thickness', 'cellMethod': 'time: minimum', 'unit': 'm', 'version': '44'}",,,
386,min(surface_snow_thickness P3M),Minimum snow depth (season),"Smallest recorded snow depth value per season. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",m,CF-name,"{'baseName': 'surface_snow_thickness', 'method': 'min', 'period': 'P3M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Snow,"{'elementCodes': ['SAN'], 'unit': 'm'}","{'standardName': 'surface_snow_thickness', 'cellMethod': 'time: minimum', 'unit': 'm', 'version': '44'}",{'values': ['PT6H']},,
387,min(surface_snow_thickness PT1H),Minimum snow depth (1 h),Smallest recorded snow depth value per hour.,cm,CF-name,"{'baseName': 'surface_snow_thickness', 'method': 'min', 'period': 'PT1H', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Snow,"{'elementCodes': ['SAN'], 'unit': 'cm'}","{'standardName': 'surface_snow_thickness', 'cellMethod': 'time: minimum', 'unit': 'm', 'version': '44'}",,,
388,min(virtual_temperature PT1H),Minimum virtual temperature (1 h),Lowest virtual temperatur per hour. The virtual temperature of air is the temperature at which the dry air constituent of a parcel of moist air would have the same density as the moist air at the same pressure. This parameter virtual temperature is calculated by taking advantage of the temperature depencence of the speed of sound.,degC/K,CF-name,"{'baseName': 'virtual_temperature', 'method': 'min', 'period': 'PT1H', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Temperature,"{'elementCodes': ['TVIRTN'], 'unit': 'degC/K'}","{'standardName': 'virtual_temperature', 'cellMethod': 'time: minimum', 'unit': 'degC/K', 'version': '75'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
389,min(visibility_in_air_poorest_direction P1D),Lowest visibility (24 h),Minimum visibility per day (24 h). Converted from synop code (max 75 km) or metar code (max 10 km).,meters,METNO-name,"{'baseName': 'visibility_in_air_poorest_direction', 'method': 'min', 'period': 'P1D', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Visibility,"{'elementCodes': ['VVN'], 'unit': 'meters'}",,{'values': ['PT0H']},,
390,min(visibility_in_air_poorest_direction P1M),Lowest visibility (month),Minimum visibility per month. Converted from synop code (max 75 km) or metar code (max 10 km).,meters,METNO-name,"{'baseName': 'visibility_in_air_poorest_direction', 'method': 'min', 'period': 'P1M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Visibility,"{'elementCodes': ['VVN'], 'unit': 'meters'}",,{'values': ['PT6H']},,
391,min(visibility_in_air_poorest_direction P3M),Lowest visibility (season) ,"Minimum visibility per season. Converted from synop code (max 75 km) or metar code (max 10 km). A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov).",meters,METNO-name,"{'baseName': 'visibility_in_air_poorest_direction', 'method': 'min', 'period': 'P3M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Visibility,"{'elementCodes': ['VVN'], 'unit': 'meters'}",,{'values': ['PT0H']},,
392,min(wind_from_direction_of_gust PT10M),Wind direction (vectorized),Varying wind direction last 10 minutes. Lower limit,degrees,METNO-name,"{'baseName': 'wind_from_direction_of_gust', 'method': 'min', 'period': 'PT10M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['DVR_010N'], 'unit': 'degrees'}",,,,
393,min(wind_from_direction_of_gust PT2M),Wind direction (vectorized),Varying wind direction last 2 minutes. Lower limit.,degrees,METNO-name,"{'baseName': 'wind_from_direction_of_gust', 'method': 'min', 'period': 'PT2M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['DVR_02N'], 'unit': 'degrees'}",,,,
394,min(wind_speed P1D),Minimum mean wind speed from main obs. (24 h),"Daily minimum mean wind speed of hourly observations (00, 01, 02,..., 23 UTC). If hourly observations do not exist then the main observation times are used (06, 12, 18 UTC and also 00 UTC where available).",m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'min', 'period': 'P1D', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FF2N', 'FFN'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: minimum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 10]}",
395,min(wind_speed P1M),Minimum mean wind speed from main obs. (month),"Monthly minimum mean wind speed of hourly observations (00, 01, 02,..., 23 UTC). If hourly observations do not exist then the main observation times are used (06, 12, 18 UTC and also 00 UTC where available).",m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'min', 'period': 'P1M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FF2N', 'FFN'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: minimum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 10]}",
396,min(wind_speed P3M),Minimum mean wind speed from main obs. (season),"Minimum mean wind speed of hourly observations (00, 01, 02,..., 23 UTC) for the season. If hourly observations do not exist then the main observation times are used (06, 12, 18 UTC and also 00 UTC where available).  A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'min', 'period': 'P3M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FFN'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: minimum', 'unit': 'm/s', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 10]}",
397,min(wind_speed_of_gust P1D),Lowest wind gust (24 h),Daily minimum wind gust,m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'min', 'period': 'P1D', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FGN'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: minimum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT18H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
398,min(wind_speed_of_gust P1M),Lowest wind gust (month),Monthly minimum wind gust,m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'min', 'period': 'P1M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FGN'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: minimum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT18H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
399,min(wind_speed_of_gust P3M),Lågaste høge vindkast (mnd),"Seasonal minimum wind gust. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'min', 'period': 'P3M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FGN'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: minimum', 'unit': 'm/s', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
400,min(wind_speed_of_gust PT10M),Minimum gust last 10 minutes,"Wind speed, minimum 3 sec gust last 10 minutes",m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'min', 'period': 'PT10M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FGN_010'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: minimum', 'unit': 'm/s', 'version': '44'}",,,
401,min(wind_speed_of_gust PT2M),Minimum gust last 2 minutes,"Wind speed, minimum 3 sec gust last 2 minutes",m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'min', 'period': 'PT2M', 'methodDescription': 'Minimum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FGN_02'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: minimum', 'unit': 'm/s', 'version': '44'}",,,
402,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Molar consentration of oxygen in sea water,Measured mole consentation of oxygen dissolved in sea water. Mole concentration means number of moles per unit volum,micromol/L,CF-name,{'baseName': 'mole_concentration_of_dissolved_molecular_oxygen_in_sea_water'},Maritime biology,"{'elementCodes': ['OSW_M'], 'unit': 'micromol/L'}","{'standardName': 'mole_concentration_of_dissolved_molecular_oxygen_in_sea_water', 'cellMethod': '-', 'unit': 'micromol/L', 'version': '75'}",{'values': ['PT0H']},"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 5, 'values': [5]}",
403,number_of_days_gte(sum(precipitation_amount P1D) P1M 1.0),Number of days with precipitation,Number of days with 1 mm precipitation or more.,number of,CF-name,"{'baseName': 'precipitation_amount', 'method': 'number_of_days_gte', 'innerMethod': 'sum', 'period': 'P1M', 'innerPeriod': 'P1D', 'addition': '1.0', 'methodDescription': 'Count of days with a measurement exceeding a given threshold.', 'innerMethodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['DRR_GE1'], 'unit': 'number of'}","{'standardName': 'precipitation_amount', 'cellMethod': 'time: sum (counting a number of X) time: sum', 'unit': 'kg m-2', 'version': '44'}",{'values': ['PT0H']},,
404,number_of_days_gte(sum(precipitation_amount_normal P1D 1961_1990) P1M 1.0),Normal for number of days with precipitation 1961-1990 (month),Monthly normal for number of days with 1 mm precipitation or more calculated for the normal period of 1961-1990.,mm,METNO-name,,Precipitation,"{'elementCodes': ['DRR_GE1'], 'unit': 'mm'}",,{'values': ['PT0H']},,
405,number_of_days_gte(sum(precipitation_amount_normal P1D 1961_1990) P1Y 1.0),Normal for number of days with precipitation 1961-1990 (year),Annual normal for number of days with 1 mm precipitation or more calculated for the normal period of 1961-1990.,mm,METNO-name,,Precipitation,"{'elementCodes': ['DRR_GE1'], 'unit': 'mm'}",,{'values': ['PT0H']},,
406,number_of_days_gte(sum(precipitation_amount_normal P1D 1991_2020) P1M 1.0),Normal for number of days with precipitation 1991-2020 (month),Monthly normal for number of days with 1 mm precipitation or more calculated for the normal period of 1991-2020.,mm,METNO-name,,Precipitation,"{'elementCodes': ['DRR_GE1'], 'unit': 'mm'}",,{'values': ['PT0H']},,
407,number_of_days_gte(sum(precipitation_amount_normal P1D 1991_2020) P1Y 1.0),Normal for number of days with precipitation 1991-2020 (year),Annual normal for number of days with 1 mm precipitation or more calculated for the normal period of 1991-2020.,mm,METNO-name,,Precipitation,"{'elementCodes': ['DRR_GE1'], 'unit': 'mm'}",,{'values': ['PT0H']},,
408,over_time(change_in_surface_snow_thickness P1D),Snow depth change (24 h),Change (increase or decrease) in snow depth over the last 24 hours.,cm,METNO-name,"{'baseName': 'change_in_surface_snow_thickness', 'method': 'over_time', 'period': 'P1D', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Snow,"{'elementCodes': ['SAE'], 'unit': 'cm'}",,{'values': ['PT6H']},,
409,over_time(equivalent_reflectivity_factor PT1M),Radar reflectivity,"Radar reflectivity factor Z, calculated on the basis of measured particle type (snow or water) particle size and particle speed for the last minute.",dB,CF-name,"{'baseName': 'equivalent_reflectivity_factor', 'method': 'over_time', 'period': 'PT1M', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Precipitation,"{'elementCodes': ['RAD_01'], 'unit': 'dB'}","{'standardName': 'equivalent_reflectivity_factor', 'cellMethod': 'time: over_time', 'unit': 'dB', 'version': '75'}",{'values': ['PT0H']},,
410,over_time(humidity_mixing_ratio P1D),Mixing ratio,The ratio of the density of water vapour to the density of dry air,gr/kg,CF-name,"{'baseName': 'humidity_mixing_ratio', 'method': 'over_time', 'period': 'P1D', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Humidity,"{'elementCodes': ['MR'], 'unit': 'gr/kg'}","{'standardName': 'humidity_mixing_ratio', 'unit': '1', 'version': '44'}",,,
411,over_time(number_of_particles PT1H),Number of particles detected (1 h),Number of detected particles per hour,h-1,METNO-name,"{'baseName': 'number_of_particles', 'method': 'over_time', 'period': 'PT1H', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Precipitation,"{'elementCodes': ['ANTP'], 'unit': 'h-1'}",,,,
412,over_time(number_of_particles PT1M),Number of particles detected (1 min),Number of detected particles per minute,min-1,METNO-name,"{'baseName': 'number_of_particles', 'method': 'over_time', 'period': 'PT1M', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Precipitation,"{'elementCodes': ['ANTP_01'], 'unit': 'min-1'}",,,,
413,over_time(precipitation_class1 P1D),Precipitation type visual,"Summary of precipitation types reported visually over the last day (24 h), based on weather elements that uses the MET codetable for weather codes.",code,METNO-name,"{'baseName': 'precipitation_class1', 'method': 'over_time', 'period': 'P1D', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Precipitation,"{'elementCodes': ['SLAGV'], 'unit': 'code'}",,,,weather_class1_significance
414,over_time(precipitation_type P1D),Precipitation type,"Summary of precipitation types reported over the last day (24 h), based on parameters:over_time(precipitation_class1 P1D), over_time(precipitation_type_visual P1D) og over_time(precipitation_type_automatic P1D)",code,METNO-name,"{'baseName': 'precipitation_type', 'method': 'over_time', 'period': 'P1D', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Precipitation,"{'elementCodes': ['SLAG'], 'unit': 'code'}",,,,weather_class1_significance
415,over_time(precipitation_type_automatic P1D),Precipitation type automatic WMO,"Summary of precipitation types reported automatically over the last day (24 h), based on weather elements that uses the WMO codetable for weather codes.",code,METNO-name,"{'baseName': 'precipitation_type_automatic', 'method': 'over_time', 'period': 'P1D', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Precipitation,"{'elementCodes': ['SLAGWA'], 'unit': 'code'}",,,,weather_class1_significance
416,over_time(precipitation_type_road PT10M),Precipitation type automatic SVV,Observed precipitation type during the last 10 minutes. Based on automatic measurements next to road. Only available for stations owned by The Norwegian Public Roads Administration.,Code,METNO-name,"{'baseName': 'precipitation_type_road', 'method': 'over_time', 'period': 'PT10M', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Precipitation,"{'elementCodes': ['V1_SVV'], 'unit': 'Code'}",,,,precipitation_road
417,over_time(precipitation_type_visual P1D),Precipitation type visual WMO,"Summary of precipitation types reported visually over the last day (24 h), based on weather elements that uses the WMO codetable for weather codes.",code,METNO-name,"{'baseName': 'precipitation_type_visual', 'method': 'over_time', 'period': 'P1D', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Precipitation,"{'elementCodes': ['SLAGW'], 'unit': 'code'}",,,,weather_class1_significance
418,over_time(sum(time_of_maximum_precipitation_amount P1D) P1M),Date for maximum precipitation,Date for maximum precipitation,Date,METNO-name,"{'baseName': 'time_of_maximum_precipitation_amount', 'method': 'over_time', 'innerMethod': 'sum', 'period': 'P1M', 'innerPeriod': 'P1D', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.', 'innerMethodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RR_24XDT'], 'unit': 'Date'}",,{'values': ['PT0H']},,
419,over_time(tendency_of_surface_air_pressure PT1H),Baromeric tendency (1 h),"Barometer tendency, i.e. change over the last hour",hPa,CF-name,"{'baseName': 'tendency_of_surface_air_pressure', 'method': 'over_time', 'period': 'PT1H', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Air pressure,"{'elementCodes': ['PP'], 'unit': 'hPa'}","{'standardName': 'tendency_of_surface_air_pressure', 'cellMethod': 'time: maximum (meaning, the corresponding vector to the maximum value of the vector over a time period)', 'unit': 'Pa', 'version': '44'}",,,
420,over_time(tendency_of_surface_air_pressure PT3H),Baromeric tendency (3 h),"Barometer tendency, i.e. change over the last three hours",hPa,CF-name,"{'baseName': 'tendency_of_surface_air_pressure', 'method': 'over_time', 'period': 'PT3H', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Air pressure,"{'elementCodes': ['PP'], 'unit': 'hPa'}","{'standardName': 'tendency_of_surface_air_pressure', 'cellMethod': 'time: maximum (meaning, the corresponding vector to the maximum value of the vector over a time period)', 'unit': 'Pa', 'version': '44'}",,,
421,over_time(tendency_of_surface_air_pressure PT6H),Baromeric tendency (6 h),"Barometer tendency, i.e. change over the last six hours",hPa,CF-name,"{'baseName': 'tendency_of_surface_air_pressure', 'method': 'over_time', 'period': 'PT6H', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Air pressure,"{'elementCodes': ['PP'], 'unit': 'hPa'}","{'standardName': 'tendency_of_surface_air_pressure', 'cellMethod': 'time: maximum (meaning, the corresponding vector to the maximum value of the vector over a time period)', 'unit': 'Pa', 'version': '44'}",,,
422,over_time(thickness_of_snowfall_amount P1D),Depth of fresh snow (24 h),Amount of fresh snow (increase in snow depth) over the last 24 hours.,cm,CF-name,"{'baseName': 'thickness_of_snowfall_amount', 'method': 'over_time', 'period': 'P1D', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Snow,"{'elementCodes': ['SS_24'], 'unit': 'cm'}","{'standardName': 'thickness_of_snowfall_amount', 'unit': 'm', 'version': '44'}",{'values': ['PT6H']},,
423,over_time(time_of_maximum_air_temperature P1M),Date of maximum temperature (month),The day the monthly maximum temperature was recorded,Date,METNO-name,"{'baseName': 'time_of_maximum_air_temperature', 'method': 'over_time', 'period': 'P1M', 'methodDescription': 'A method to describe the observation of what has happened since last observation, often used for type of weather.'}",Temperature,"{'elementCodes': ['TAXDT'], 'unit': 'Date'}",,{'values': ['PT0H']},,
